[2025-05-22T06:05:26.961638+00:00] 🔄 Checking active executions...
[2025-05-22T06:05:27.279259+00:00] 🔍 Trade 1799: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13367 | PL: -1.01000
[2025-05-22T06:05:27.406734+00:00] 🔍 Trade 1797: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13367 | PL: -1.01000
[2025-05-22T06:05:27.526562+00:00] 🔍 Trade 1795: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13367 | PL: -1.01000
[2025-05-22T06:05:27.689053+00:00] 🔍 Trade 1793: EUR_USD | Units: -1000 | Open: 1.13267 | Now: 1.13367 | PL: -1.00000
[2025-05-22T06:05:27.778538+00:00] 🔍 Trade 1791: EUR_USD | Units: -1000 | Open: 1.13267 | Now: 1.13367 | PL: -1.00000
[2025-05-22T06:05:27.867225+00:00] 🔍 Trade 1789: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13368 | PL: -1.02000
[2025-05-22T06:05:27.960325+00:00] 🔍 Trade 1787: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13368 | PL: -1.04000
[2025-05-22T06:05:28.058389+00:00] 🔍 Trade 1785: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13368 | PL: -1.04000
[2025-05-22T06:05:28.139359+00:00] 🔍 Trade 1783: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13368 | PL: -1.04000
[2025-05-22T06:05:28.230436+00:00] 🔍 Trade 1781: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13368 | PL: -1.04000
[2025-05-22T06:05:28.314791+00:00] 🔍 Trade 1779: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:28.410922+00:00] 🔍 Trade 1777: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13367 | PL: -1.03000
[2025-05-22T06:05:28.498642+00:00] 🔍 Trade 1775: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:28.593169+00:00] 🔍 Trade 1773: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:28.690329+00:00] 🔍 Trade 1771: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:28.787186+00:00] 🔍 Trade 1769: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:28.868832+00:00] 🔍 Trade 1767: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:28.969747+00:00] 🔍 Trade 1765: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.068837+00:00] 🔍 Trade 1763: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.158164+00:00] 🔍 Trade 1761: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.249057+00:00] 🔍 Trade 1759: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.343212+00:00] 🔍 Trade 1757: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.426236+00:00] 🔍 Trade 1755: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.519506+00:00] 🔍 Trade 1753: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13367 | PL: -1.05000
[2025-05-22T06:05:29.615924+00:00] 🔍 Trade 1751: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:29.716148+00:00] 🔍 Trade 1749: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:29.812962+00:00] 🔍 Trade 1747: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:29.918649+00:00] 🔍 Trade 1745: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:30.008583+00:00] 🔍 Trade 1743: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:30.129680+00:00] 🔍 Trade 1741: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:30.217910+00:00] 🔍 Trade 1739: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:30.300555+00:00] 🔍 Trade 1737: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.388614+00:00] 🔍 Trade 1735: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.472663+00:00] 🔍 Trade 1733: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.570122+00:00] 🔍 Trade 1731: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.654092+00:00] 🔍 Trade 1729: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.754780+00:00] 🔍 Trade 1727: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.834720+00:00] 🔍 Trade 1725: EUR_USD | Units: -1000 | Open: 1.1326 | Now: 1.13368 | PL: -1.08000
[2025-05-22T06:05:30.914759+00:00] 🔍 Trade 1723: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:31.006470+00:00] 🔍 Trade 1721: EUR_USD | Units: -1000 | Open: 1.13262 | Now: 1.13368 | PL: -1.06000
[2025-05-22T06:05:31.102799+00:00] 🔍 Trade 1719: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.190249+00:00] 🔍 Trade 1717: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.277084+00:00] 🔍 Trade 1715: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.400120+00:00] 🔍 Trade 1713: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.488335+00:00] 🔍 Trade 1711: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.572684+00:00] 🔍 Trade 1709: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.662206+00:00] 🔍 Trade 1707: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.747995+00:00] 🔍 Trade 1705: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.841597+00:00] 🔍 Trade 1703: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:31.937968+00:00] 🔍 Trade 1701: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.027542+00:00] 🔍 Trade 1699: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.109057+00:00] 🔍 Trade 1697: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13368 | PL: -1.02000
[2025-05-22T06:05:32.209058+00:00] 🔍 Trade 1695: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13368 | PL: -1.04000
[2025-05-22T06:05:32.308935+00:00] 🔍 Trade 1693: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13367 | PL: -1.03000
[2025-05-22T06:05:32.401219+00:00] 🔍 Trade 1691: EUR_USD | Units: -1000 | Open: 1.13264 | Now: 1.13367 | PL: -1.03000
[2025-05-22T06:05:32.490974+00:00] 🔍 Trade 1689: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.583360+00:00] 🔍 Trade 1687: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.670288+00:00] 🔍 Trade 1685: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13367 | PL: -1.02000
[2025-05-22T06:05:32.759793+00:00] 🔍 Trade 1683: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.849879+00:00] 🔍 Trade 1681: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13368 | PL: -1.03000
[2025-05-22T06:05:32.939565+00:00] 🔍 Trade 1679: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13367 | PL: -1.02000
[2025-05-22T06:05:33.034011+00:00] 🔍 Trade 1677: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13367 | PL: -1.02000
[2025-05-22T06:05:33.125757+00:00] 🔍 Trade 1675: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13367 | PL: -1.02000
[2025-05-22T06:05:33.214342+00:00] 🔍 Trade 1673: EUR_USD | Units: -1000 | Open: 1.13265 | Now: 1.13367 | PL: -1.02000
[2025-05-22T06:05:33.300792+00:00] 🔍 Trade 1671: EUR_USD | Units: -1000 | Open: 1.13266 | Now: 1.13367 | PL: -1.01000
[2025-05-22T06:05:33.394503+00:00] 🔍 Trade 1669: EUR_USD | Units: -1000 | Open: 1.13261 | Now: 1.13367 | PL: -1.06000
